region_id,cgfr_5,cgfr_10,cgfr_25,cgfr_50,cgfr_75,cgfr_100,cgfr_125,cgfr_150,cgfr_175,cgfr_200
HU,0.572,0.5326,0.5039,0.5014,0.5069,0.5136,0.5206,0.5276,0.5345,0.5412
ZA,0.6269,0.6333,0.6763,0.741,0.7908,0.8308,0.8642,0.8928,0.9178,0.9401
AU,0.5284,0.4893,0.4772,0.4805,0.4857,0.4915,0.4975,0.5033,0.5087,0.5138
SN,0.48,0.498,0.5446,0.6036,0.6429,0.6717,0.6938,0.7116,0.7263,0.739
KE,0.719,0.706,0.7136,0.7444,0.7721,0.7957,0.8159,0.8334,0.8488,0.8627
NL,0.6209,0.5849,0.5591,0.5538,0.5581,0.5649,0.5721,0.5789,0.5852,0.5908
MZ,0.555,0.5637,0.6021,0.6603,0.7053,0.7414,0.7712,0.7963,0.8179,0.837
MY,0.4856,0.4539,0.4392,0.4502,0.4657,0.4807,0.4945,0.5069,0.5181,0.5282
GY,0.7561,0.7387,0.7458,0.785,0.8221,0.8541,0.8816,0.9053,0.9261,0.9444
HT,0.8291,0.8507,0.9263,1.0308,1.0982,1.1469,1.1847,1.2154,1.2412,1.2633
MN,0.6416,0.6093,0.6046,0.6186,0.6309,0.6417,0.6511,0.6596,0.6671,0.6739
AR,0.6297,0.6074,0.5993,0.6048,0.6158,0.6284,0.6414,0.6539,0.6657,0.6767
GM,0.5231,0.5431,0.605,0.685,0.7349,0.7698,0.7958,0.816,0.8323,0.8458
EG,0.326,0.2891,0.2454,0.2153,0.1998,0.1902,0.1837,0.179,0.1754,0.1726
MG,0.6956,0.7066,0.7502,0.8116,0.8572,0.8932,0.923,0.9486,0.9713,0.9917
BE,0.5922,0.5568,0.5289,0.521,0.5221,0.5257,0.53,0.5345,0.5388,0.5429
PG,0.5589,0.5635,0.598,0.6487,0.6867,0.7167,0.7413,0.7622,0.7804,0.7965
DZ,0.2588,0.2341,0.2053,0.1906,0.1854,0.1831,0.1819,0.1812,0.1808,0.1806
SI,0.5001,0.4729,0.4576,0.4645,0.4774,0.4908,0.5035,0.5154,0.5262,0.5362
GQ,0.813,0.8319,0.9186,1.0636,1.1722,1.2563,1.3226,1.3758,1.4198,1.4564
UZ,0.2675,0.2729,0.301,0.3345,0.3514,0.3618,0.36870000000000003,0.3736,0.3772,0.3799
JM,0.7486,0.7638,0.8252,0.9121,0.9734,1.0202,1.0579,1.0891,1.1155,1.1379
VC,0.7584,0.761,0.7928,0.849,0.8919,0.9255,0.9535,0.9767,0.9966,1.0146
TD,0.3166,0.3246,0.3462,0.3745,0.3931,0.4065,0.4171,0.4256,0.4327,0.4387
TH,0.5793,0.5488,0.5462,0.5669,0.5864,0.6036,0.619,0.633,0.6457,0.6574
NE,0.3513,0.3633,0.399,0.4464,0.4766,0.4988,0.5165,0.5312,0.5436,0.5545
